Repo,Author,Star,Fork,Watch,Creation,Last Update,Language,Topic,Family,Platform
malSploitBase,misterch0c,482,194,54,2016-01-03,2021-11-25,Python,,"ransomware, trojan",
malware,gbrindisi,451,272,56,2016-03-22,2021-12-12,C,,botnet,"android, linux, windows"
DangerousZone,malwares,163,146,21,2016-03-26,2021-11-15,,,,
android-malware,ashishb,755,306,100,2016-04-28,2021-12-14,Shell,,,android
malware-sample-library,mstfknn,388,116,39,2018-10-24,2021-12-15,C++,"malware-samples, malware, malware-analysis, apt28, apt29, apt34, apt37, aptc23",trojan,
fireELF,rek7,497,95,25,2019-04-17,2021-12-10,Python,"python, security, security-tools, malware, malware-development, linux, pentesting, redteam, exploitation, exploit-development, exploitation-framework, framework",,linux
PracticalMalwareAnalysis-Labs,mikesiko,621,237,41,2017-04-26,2021-12-13,,,,windows
malware_analysis,hasherezade,424,115,56,2015-10-30,2021-11-19,Python,"malware, malware-analysis, trickbot",,
theZoo,ytisf,7844,2007,807,2014-01-09,2021-12-15,Python,"malware, malware-analysis, malware-samples, malware-research, thezoo, malwareanalysis","virus, worm",
TeslaCrack,Googulator,173,40,43,2015-12-15,2021-10-27,Python,,ransomware,windows
TheFatRat,Screetsec,5937,1819,481,2016-07-24,2021-12-15,C,"thefatrat, bypass, linux, autorun, bypass-av, antivirus, hacking, dracos, backdoor, metasploit-framework, malware, kali-linux, msfvenom, bypassantivirus, rat, remote, accessibility, trojan, remote-access, tool","backdoor, trojan, virus","android, linux, mac, windows"
Android-Malwares,hxp2k6,44,84,7,2017-07-24,2021-11-27,,,,android
demos,hasherezade,662,173,55,2016-08-19,2021-12-15,C,"malware, code-injection, dll-injection, runpe, process-hollowing",,windows
aamo,necst,102,47,16,2015-09-16,2021-09-07,Python,,,android
malware-indicators,citizenlab,214,57,52,2014-11-11,2021-12-09,YARA,"technical-indicators, malware-research, ioc",spyware,iphone
dnschef,iphelix,616,156,32,2013-12-03,2021-12-15,Python,,,"android, iphone, linux, windows"
Malware,znb,50,27,15,2012-10-15,2019-04-30,,"malware, deprecated, oldcrap, python",virus,windows
javascript-malware-collection,HynekPetrak,433,178,39,2017-05-07,2021-12-08,JavaScript,"malware-samples, malware-research, javascript, malware-jail",,
XOR_Crypter,Jyang772,68,37,5,2013-12-03,2021-12-06,C++,"crypter, malware",,
Rootkit,csurage,39,23,9,2013-04-17,2021-04-08,C++,,rootkit,windows
defcon-25-workshop,zerosum0x0,370,121,23,2017-07-19,2021-12-03,C,,keylogger,windows
EGESPLOIT,EgeBalci,300,101,28,2016-07-17,2021-12-15,Go,"malware-development, golang-library, meterpreter, keylogger, persistence","keylogger, virus",windows
The-Collection,Tlgyt,427,176,39,2018-12-28,2021-12-15,C#,,botnet,
Richkware,richkmeli,387,113,19,2017-02-02,2021-12-15,C++,"malware, virus, worm, bot, spyware, keylogger, windows, c, cpp, mingw, hacking, hacker, hacktool, framework","botnet, keylogger, spyware, virus, worm","linux, windows"
maltelligence,maltelligence,90,22,16,2015-08-23,2020-04-29,Python,,,linux
NeutrinoMalware,mwsrc,16,25,2,2016-07-09,2021-02-19,PHP,,,
MALM,glmcdona,35,25,4,2012-12-16,2021-10-16,C++,,virus,windows
Mass-Malicious-Script-Dump,mwsrc,51,42,4,2016-11-25,2021-12-03,C,,"botnet, spoof",
malware,funtimes-ninja,63,24,10,2017-01-14,2021-10-02,Shell,,,
maltrieve,krmaxwell,556,158,97,2013-01-29,2021-12-01,Python,,,linux
Lime-Downloader,NYAN-x-CAT,92,59,17,2018-07-26,2021-12-04,C#,"downloader, malware, loader",,
milano,RookLabs,42,25,16,2015-07-22,2021-11-18,Python,,,"linux, windows"
malware-samples,fabrimagic72,1049,310,101,2017-04-27,2021-12-15,,"malware, honeypot, botnet, malware-analysis, malware-samples, malwareanalysis, wannacry, uiwix, ransomware, eternalblue, eternalrocks","botnet, ransomware, spam",
tools,fireeye,93,51,37,2014-02-06,2021-12-01,C,,,
malboxes,GoSecure,944,137,70,2016-04-01,2021-12-16,Python,"malware-analysis, malware-research, virtual-machine, python3, vagrant, packer",,"linux, mac, windows"
SMRT,pidydx,59,15,8,2015-04-30,2021-11-27,Python,,,windows
malwares.github.io,malwares,36,21,0,2016-12-10,2021-11-03,CSS,,"botnet, keylogger, trojan",
Malware-Misc-RE,k-vitali,189,47,39,2019-02-26,2021-11-17,Jupyter Notebook,,,
open-myrtus,christian-roggia,227,84,20,2015-05-28,2021-12-15,C,"malware, virus, stuxnet, myrtus, root, dropper, zero-day","rootkit, virus",
SSMA,secrary,390,100,33,2016-08-30,2021-11-17,Python,"malware, malware-analyzer, python, malware-analysis",ransomware,"linux, windows"
malware,RamadhanAmizudin,576,347,46,2016-03-08,2021-12-16,C++,,"backdoor, botnet, spam, spyware, trojan","android, iot"
hdroot-bootkit-analysis,williamshowalter,58,39,7,2016-04-17,2021-10-26,C,,backdoor,windows
Process-Hollowing,m0n0ph1,600,146,22,2015-07-29,2021-12-15,C++,,,windows
rrnuVaccine,walkeralencar,19,9,1,2012-02-28,2020-05-12,PHP,,,
Malware_Scripts,sysopfb,96,23,13,2016-01-14,2021-12-04,Python,"malware-scripts, malware, malware-research",,
No_Sandboxes,Th4nat0s,36,13,3,2014-10-16,2021-11-29,Assembly,,,
some-samples,wolfvan,32,14,9,2017-04-11,2021-10-30,Shell,malware-samples,,
malware-research,eset,300,77,70,2014-07-08,2021-12-01,Python,,,
mlib,mak,115,22,15,2017-06-01,2021-11-18,Python,,,windows
MaliciousPark,REal0day,62,12,7,2018-07-10,2021-07-09,,,,
Malware-Machine-Learning,GeekOnlineCode,26,9,1,2018-01-14,2021-07-27,Jupyter Notebook,"malware, machine-learning, malware-analysis, malware-research, deep-learning, cybersecurity",,
TrojanCockroach,MinhasKamal,499,200,61,2015-11-19,2021-12-16,C++,"spyware, virus, trojan, keylogger, pendrive, trojan-cockroach, cpp, fud","keylogger, spyware, trojan, virus",windows
LimeUSB-Csharp,NYAN-x-CAT,105,55,11,2019-02-01,2021-12-15,C#,"malware, spread, spreading, usb, badusb, backdoor",backdoor,
TRISIS-TRITON-HATMAN,MDudek-ICS,188,77,22,2017-12-24,2021-12-07,Python,"malware, python, ics-security, ics, scada, scada-security",virus,
malware_configs,JR0driguezB,65,12,17,2017-11-24,2021-03-10,JavaScript,,,
pacdoor,SafeBreach-Labs,151,42,13,2016-07-22,2021-12-03,Python,,,
flame-sourcecode,phoenixlzx,25,19,6,2012-06-08,2021-11-29,,,,
ios-malware,ashishb,22,16,5,2016-05-13,2021-08-05,,,,iphone
MazeWalker,0xPhoeniX,139,29,14,2017-06-29,2021-10-09,C++,"static-analysis, idapython-plugin, malware-analysis, idapython, reverse-engineering, ida-pro",,
mwzoo,unixfreak0037,21,7,11,2014-06-19,2019-03-08,,,rootkit,linux
Animus,SplittyDev,17,9,4,2015-07-31,2021-11-09,C#,,,
funky_malware_formats,hasherezade,87,20,5,2019-03-19,2021-11-24,C++,,,
ScriptDotSh-MalwareDevelopment,paranoidninja,120,52,9,2018-09-04,2021-12-07,C++,,,
PowerWorm,mattifestation,91,45,12,2014-04-05,2021-06-30,PowerShell,,worm,
mal_sort,hasherezade,36,19,7,2016-07-23,2021-09-11,Python,,,
Threat-Hunting,sapphirex00,230,47,21,2018-09-09,2021-12-11,,"threat-hunting, threat-intelligence, threat-sharing, threat-modeling, collection, malware, malware-analysis, malware-research, yara-rules, malware-detection",,
maltese,HPE-AppliedSecurityResearch,24,10,8,2016-07-19,2021-10-27,Python,,,
malware-traffic-analysis-pcaps,neu5ron,30,11,12,2015-05-19,2019-02-18,,,,
AnalysisScript,Ptr32Void,14,10,4,2014-04-15,2021-12-11,Python,,"backdoor, trojan",
file-less-ransomware-demo,rpgeeganage,43,29,3,2015-06-03,2021-11-18,JavaScript,"malware, ransomware, javascript, file-less, ransomware-resources, ransom-worm",ransomware,
APT-Sample,Cherishao,139,57,11,2018-12-07,2021-11-19,HTML,,trojan,
aibolit,gregzem,46,41,12,2012-04-22,2021-12-16,PHP,,virus,
ghost,AHXR,402,150,23,2017-12-09,2021-12-15,C++,"malware, rat, hacking, backdoor, remote, trojan, remote-access, remote-access-trojan, remote-access-tool, windows, botnet","backdoor, botnet, trojan, virus",windows
malware-analysis-scripts,deadbits,63,14,7,2015-01-23,2021-11-07,Python,"malware, malware-analysis, malware-research, reverse-engineering",,
VxVault,InfectedPacket,22,8,4,2015-10-27,2021-03-17,Python,,virus,
SimpleUnpacker,Cr4sh,27,19,6,2011-10-27,2021-11-24,C++,,trojan,windows
open-shamoon,christian-roggia,15,19,4,2015-05-28,2021-08-30,C++,"malware, disttrack, shamoon, virus",virus,
RemoteWriteMonitor,tandasat,63,40,7,2015-03-05,2021-12-15,C++,,,windows
open-nettraveler,christian-roggia,16,14,2,2015-05-28,2021-10-12,C++,"malware, virus, nettraveler",virus,
MaTiRe,bartblaze,68,17,10,2018-02-16,2021-11-19,C,"threat-intelligence, malware-analysis, lab-materials, reverse-engineering",,
virusmon,sakti,6,7,3,2012-04-21,2017-01-03,JavaScript,,virus,
honeydrops,ring0x0,26,13,8,2017-05-26,2021-03-09,,,,
netsink,shendo,35,8,6,2013-02-16,2021-01-25,Python,,,"linux, windows"
cryptomining,tarcisio-marinho,19,14,7,2018-04-07,2021-11-22,C++,"cryptocurrency, cryptography, cryptocurrencies, bitcoin, bitcoin-mining, bitcoin-miner",backdoor,linux
maldrolyzer,maldroid,93,27,11,2015-03-29,2021-09-18,Python,,,android
winnti-detector,TKCERT,20,7,5,2018-03-05,2021-09-16,C,,,
virustream,ntddk,49,8,7,2017-11-12,2021-06-06,Python,"malware, osint, twitter, slack, misp, downloader",,
stupid_malware,andrew-morris,71,18,9,2014-03-04,2021-11-14,Python,,,windows
Vault-8-Hive,soufianetahiri,43,36,10,2017-11-10,2021-11-18,C,"vault-8, wikileaks, cia, malware",,"linux, windows"
malware,jjo-sec,10,5,2,2015-09-24,2018-02-05,Python,,,
CuteVirusCollection,MinhasKamal,268,84,21,2016-11-16,2021-12-14,HTML,"viruses, bomb, crash, worms, deadly-viruses, c, java, batch, shell, javascript","virus, worm",windows
malware-machinelearning,fabriciojoc,10,9,2,2016-11-22,2020-12-09,Python,"machine-learning, malware-research, malware",,
iot-malware,ifding,192,94,13,2017-05-21,2021-12-11,C,,"botnet, ddos","iot, linux, windows"
WindowsMalwareSourceCode,ulexec,17,37,4,2016-10-15,2019-06-22,,,"botnet, spam",windows
malware_python,APT55,41,28,7,2016-09-11,2021-12-09,Python,,,windows
decoding-examples,phxbandit,6,6,3,2016-06-07,2021-08-09,PHP,,,
Dexter-POSGrabber,whobin,14,21,1,2016-03-01,2021-10-11,C,,,
php-malware-analysis,bediger4000,98,36,9,2017-11-29,2021-12-10,PHP,"php, malware, reverse-engineering, honeypot, analysis","backdoor, botnet, spam, trojan",linux
Cardinal,syreal17,26,5,2,2016-02-25,2021-03-17,LLVM,"bloom-filter, optimization, test-harness, malware-analysis, malware-research, similarity-score, cardinalities, ida, cpc, similarity-measurement, isocompiler-modulation",,windows
malwaresearch,gaijinctf,6,63,1,2017-05-07,2021-07-15,Python,,,
malware-ml,blackfist,14,7,4,2014-08-25,2020-09-15,,,,
ansible-misp,StamusNetworks,16,8,8,2014-11-08,2021-01-17,,,,
malware_analysis,JR0driguezB,21,5,4,2017-11-22,2020-03-18,Python,,,
mart,mboman,10,5,3,2012-07-02,2015-09-04,Python,,,
Limon,monnappa22,341,116,37,2015-11-21,2021-11-17,Python,,,linux
MalwareDatabase,Endermanch,1110,332,96,2018-10-28,2021-12-16,Python,,"ransomware, trojan",
maltracer,buffer,23,9,6,2011-04-19,2020-12-09,Python,,,
malware-research,CHEF-KOCH,79,31,10,2017-08-06,2019-08-02,C,"malware, security, research, malware-examples, code-inspection, exploits, cve, poc",virus,"android, linux, windows"
deobfuscate,lasq88,50,17,7,2018-07-21,2021-11-23,Python,,,
cs683,usfca,2,9,2,2019-01-22,2020-10-09,Python,,"ransomware, worm",windows
ThanatosDecryptor,Cisco-Talos,66,15,14,2018-06-22,2021-10-19,C++,,,windows
LazyS,G4lB1t,21,5,4,2017-07-24,2021-10-14,C++,,"keylogger, ransomware",windows
Malware_Analyzer,dgros,10,6,2,2016-02-22,2018-03-12,C,,,
CRASHOVERRIDE,dragosinc,18,6,6,2017-06-12,2021-06-08,,,,
awesome-malware-analysis,padfoot999,19,9,5,2017-01-15,2021-12-01,,,"botnet, ransomware, rootkit, spam, trojan, virus, worm","android, linux, mac, windows"
Antimalware-Research,NtRaiseHardError,200,64,18,2019-05-14,2021-12-15,C++,"antivirus, antivirus-evasion, antivirus-testing, antimalware, windows, c, bypass, bypass-antivirus, bypassing-avs, bypassantivirus",,windows
MalwareAnalysis,ByteHackr,33,17,2,2017-07-24,2021-11-10,,,"botnet, ransomware, rootkit, spam, trojan, virus, worm","android, linux, mac, windows"
Remote_Malware_Analyzer,dgros,18,17,2,2016-02-23,2020-12-11,C,,,windows
MalwarePersistenceScripts,TestingPens,109,18,13,2018-05-30,2021-11-18,PowerShell,"persistence, malware, redteam, blueteam, powershell, living-off-the-land",,windows
LinuxMalwareSourceCode,ulexec,7,52,3,2016-10-15,2019-08-15,C,,"backdoor, botnet, virus","android, linux"
LockeRat,mcostasoftware,20,8,6,2015-09-05,2021-10-11,C++,,,
stuxnet-source-code,SilverPoision,52,45,7,2017-01-25,2021-10-31,,,virus,
malware_monitor,Prevenity,15,7,3,2015-03-29,2021-08-04,C,,,
AndroidMalwareExample,darrylburke,16,19,1,2016-12-21,2021-08-26,Java,,ransomware,android
sample_smishing,brian020305,5,4,8,2014-06-29,2018-09-03,Java,,backdoor,android
MalwareResearchAPI,GelosSnake,33,5,6,2018-08-14,2021-07-19,Python,,,
LimeUSB,decay88,8,10,1,2019-01-20,2021-11-17,Visual Basic,,,
nvmtrace,adamwallred,12,3,7,2015-08-24,2020-12-08,Java,,,linux
detect_preload,mempodippy,44,20,1,2016-05-23,2021-10-28,C,,rootkit,
RegLister,dnlongen,42,7,6,2015-08-14,2020-06-26,Python,,,"linux, windows"
kicomav-db,hanul93,12,8,5,2013-06-30,2021-06-19,YARA,,,"linux, mac, windows"
IOCs-IDPS,SpiderLabs,69,23,25,2017-07-12,2021-11-26,,,,
Instalog,BillyONeal,10,5,3,2013-02-06,2021-07-01,C,,,windows
FileInsight-plugins,nmantani,115,19,18,2012-09-05,2021-12-10,Python,,trojan,
Mirai-ioT-Botnet-Source-Code-With-Setup-Guide,eulo08,20,20,3,2016-11-19,2021-08-28,C,,botnet,"iot, linux"
MCSC-Lab,0thm4n3,7,5,2,2017-04-08,2021-09-30,Visual Basic,,,
MalwarePoC,carlospolop,12,11,2,2017-07-03,2021-10-21,C++,malware,"backdoor, ransomware, spyware, virus, worm",windows
POC-Android-Malware-files,akibsayyed,1,6,1,2015-03-21,2018-01-19,PHP,,,android
cleanvpn.xyz,cryptostorm-dev,21,10,14,2015-02-28,2021-04-10,HTML,,,
pehashng,AnyMaster,19,4,5,2015-09-24,2021-09-30,Python,,,
godware,jbremer,25,9,5,2012-05-17,2021-10-13,C++,,,windows
La-seCta,secu77,9,3,3,2017-12-25,2021-11-17,C,,,linux
Superphish,0xPoly,28,8,4,2015-02-20,2021-09-17,Shell,,,
BestKorea,Jacquais,9,3,0,2017-08-17,2021-07-26,C#,"malware, csharp, telegram, command-and-control, keylogger, cryptocurrency",keylogger,
aresdoor,BlackVikingPro,6,7,1,2017-05-18,2019-01-16,C#,"backdoor, cybersecurity, csharp, hacking, source, code, visual-studio",backdoor,windows
reyara,VectraThreatLab,14,6,4,2015-12-09,2021-12-10,,,,
Unpackers,sysopfb,24,9,3,2016-01-09,2021-06-16,Python,"unpacker, malware-packers, malware",,
Malware-Collection,SKocur,24,8,3,2017-01-23,2021-11-17,C++,"winsock, windows, malware, maliciouscode, client, server, remote-control, malware-collection",keylogger,windows
awesome-malware,meitar,131,33,19,2018-08-06,2021-12-15,,"cybersecurity, malware, post-exploitation, awesome, awesome-list, computer-security","backdoor, botnet, rootkit, trojan","android, linux, windows"
CICFlowMeter,ISCX,255,131,13,2018-02-12,2021-12-06,Java,,,"android, linux, windows"
FastCashMalwareDissected,fboldewin,20,9,2,2018-12-11,2021-01-05,,,,
The-Big-List-of-Hacked-Malware-Web-Sites,mitchellkrogza,155,71,19,2017-07-12,2021-12-16,Shell,"malware, ransomware, trojans, viruses, website, clickjacking, porn, wannacry, cybersecurity, cyber-security, browsers, petya, hacked, wordpress, wordpress-site, technical-support, click-redirecting, click-jacking","botnet, ransomware, trojan, virus",
OpenVaccine,p2plab,9,2,4,2015-07-27,2019-10-15,C,,,android
VBS-Shell,NYAN-x-CAT,27,18,5,2019-04-18,2021-11-24,Visual Basic,"powershell, downloader, loader, malware, backdoor, vbs",backdoor,
mass_server,mass-project,9,3,4,2016-09-19,2021-02-11,HTML,,,linux
MalAnaRevEng_SummerSchool,m4mbr3,5,3,2,2012-09-19,2019-06-17,,,,
AVMod,MontoyaAndres,13,13,4,2017-01-21,2020-03-28,Python,,,windows
AMIV,researcherGeekLab,2,4,2,2016-05-19,2018-07-24,Python,,,android
TheFatRat,Exploit-install,59,33,10,2016-09-14,2021-11-24,C,,backdoor,"android, linux, mac, windows"
mirai,lejolly,23,16,1,2017-03-30,2021-12-15,C,,,
malware,donaldmoore,2,3,3,2015-02-05,2018-06-28,CSS,,,
Malware-Samples,greg5678,20,10,3,2017-11-05,2021-05-25,,,,linux
shadowserver,chrislee35,12,8,4,2011-05-29,2020-02-04,Ruby,"ruby, shadowserver, asn, malware","botnet, worm",
DDL,nirex0,16,6,3,2017-08-09,2021-08-05,C#,"ransomware, malware, encryption, nirex, aes-encryption, aes, aes-256",ransomware,
AnubisMalware,fs0c131y,17,8,1,2018-10-29,2021-08-19,,,,
AntiMalware,twitter-university,6,8,6,2012-04-14,2021-11-17,Java,,,android
MalwareUnicornRECourse,PimmyTrousers,8,5,2,2017-04-02,2021-12-01,HTML,,,
iocs,OALabs,6,2,4,2016-01-02,2019-07-02,,,,
vba-obfuscator,bonnetn,100,27,8,2018-10-27,2021-12-16,Python,"python3, vba-macros, obfuscator",,
malfeed,eSentire,12,5,16,2015-06-25,2020-02-24,,,botnet,
Black-SEO-WordPress-Malware,ecrider,20,6,0,2017-04-02,2020-10-26,PHP,"malware-analysis, malware-research, wordpress, virus, seo, php",virus,
S.M.A.R.T,zengrx,14,7,3,2017-04-14,2021-05-07,Python,"malware-analysis, pyqt4, python, machine-learning",,"linux, windows"
ProcessSpawnControl,felixweyne,243,51,17,2018-11-26,2021-12-15,PowerShell,,,windows
Capture,van76007,4,3,1,2015-04-16,2019-07-24,C++,,,"linux, windows"
malyzer,srozb,5,3,4,2016-12-09,2021-03-07,Python,,,
Encryption-malware-in-Python-,llarenas,5,4,1,2016-01-02,2019-11-15,Python,,,
MalwareDB,WojtylaCZ,5,4,2,2013-08-14,2019-12-22,Java,,,
Decryptors,slojo,4,3,2,2014-08-12,2019-07-25,Java,,,android
locker_decrypter,mikatammi,19,7,4,2015-06-07,2020-12-14,Python,,ransomware,linux
Andromeda-payload,0xEBFE,6,3,3,2013-03-30,2020-07-28,,,,
dumb-malware,frank2,10,4,3,2017-01-18,2021-04-11,C++,,,
usb_vaccine,Explorer09,7,5,1,2014-03-16,2020-10-15,Batchfile,,virus,"linux, mac, windows"
malware-sample-banker-FEFAD618EB6177F07826D68A895769A8,opsxcq,9,5,1,2017-03-14,2020-08-19,,"malware, sample, malware-sample, malware-banker, malware-analysis",trojan,"linux, windows"
irem,malwarenights,5,4,1,2017-05-16,2020-03-10,HTML,,,
malware_analysis,ramandika,5,2,1,2016-07-20,2021-04-19,C++,,,
OverWatch,wearetheartillery,13,2,8,2014-08-19,2017-03-26,,,,
AbSent-Loader,Tlgyt,62,33,7,2019-04-19,2021-10-27,C++,malware,"botnet, ddos, keylogger",
python-virus,VincenzoArceri,28,16,7,2016-05-10,2021-11-30,Python,,virus,
PACKMAN,egoktas,12,1,1,2016-01-31,2016-12-07,C++,,,windows
AndroidMalware_2018,sk3ptre,43,32,3,2018-12-30,2021-12-15,,,,android
H2Sandbox,sankio,6,1,1,2011-11-26,2021-08-20,JavaScript,,,windows
troll-ware,rek7,5,2,1,2017-03-27,2018-12-15,C++,"funny, malware, troll, trollware, non-harmful",,
malware,ispoleet,3,3,2,2016-07-20,2020-05-15,C,,,
Trojan.Win32.Lockdown,AHXR,40,24,5,2017-10-18,2021-12-14,C++,,"ransomware, trojan, virus, worm",windows
daedra,unix-beard,16,3,4,2014-09-23,2017-12-22,,,rootkit,
evador,Eplox,15,1,6,2019-02-21,2021-10-20,HTML,,spam,
malware,hotelzululima,1,3,1,2014-06-19,2016-07-17,Python,,,
PEIK,contra,13,15,6,2011-04-01,2020-05-19,C#,,,
malWASH,ispoleet,6,1,3,2016-07-22,2021-08-16,C++,,keylogger,windows
Malware-Detector,Erxathos,7,2,0,2018-02-09,2021-11-22,Python,"neural-network, perceptron, python, malware-detection, windows",,windows
pycryptoclone,rcobb76101,2,4,2,2015-01-28,2020-04-17,Python,,ransomware,
Abyss-Watcher,ntddk,9,2,3,2016-12-30,2018-09-15,Python,"malware, crawler, scraper, tor",,
dexterdecoder,jakewarren,4,4,1,2014-10-13,2021-12-13,Python,,,
MalwareVulnerabilitiesExposures,robindimyan,11,1,3,2019-05-03,2021-02-21,,,backdoor,
malware-behaviors,MAECProject,40,5,10,2018-10-16,2021-01-13,,,,
Brazilian-Malwares,oxahax,7,5,1,2018-01-26,2020-11-07,Pascal,"malwares, banking, brazil, keylogger",keylogger,
p2pmalwaredetect,ConnorDillon,4,5,2,2014-07-11,2021-04-26,Python,,,
malelficus,tiago4orion,17,1,7,2013-03-16,2019-12-20,CSS,,virus,"linux, windows"
tracethreat-nrml,treadstoneproject,6,6,2,2015-07-24,2021-01-19,C++,realtime-machine-learning,,"android, linux"
wordpress-malware-scanner,baseapp,15,8,5,2017-12-26,2021-12-03,Mathematica,,,
malware_tools,slydon,2,2,1,2013-08-18,2015-09-02,Python,,,
malware-crawler,Evilcry,7,3,0,2015-10-09,2020-04-25,Python,,,
drop,ynadji,9,0,3,2011-03-07,2019-07-15,Python,,,linux
Your-daily-malware-samples,notnop,10,1,1,2017-11-25,2020-11-10,Python,,,
Permission-based-Android-Malware-Detection,SanjayNITK,7,6,0,2018-03-31,2021-10-19,Python,"android, malware-detection, python",,android
USB-Disk-Security,gungunfebrianza,9,7,3,2016-12-22,2021-11-09,C#,"security, algorithms, usb, autorun, malware",virus,windows
Malware_Analysis,carbreal,23,4,8,2018-04-30,2021-04-04,Shell,,,
41_M3U5_NUD35,mthbernardes,6,5,2,2016-05-07,2020-10-17,Python,,,
scanner,drdaffey,7,1,2,2017-05-04,2019-05-21,Shell,,,
Anti-MalwareID,rakeshcorp,9,4,3,2015-08-12,2021-08-03,Python,,,
malnet,brainiac3,2,2,3,2010-12-20,2013-12-18,,,,
CSEC476-Malware,raynecafaro,3,2,4,2018-03-28,2020-06-28,C++,,,"mac, windows"
botnets,GeeksXtreme,0,8,2,2014-03-28,2019-12-15,,,botnet,
malWASH,0x0mar,2,3,2,2016-07-17,2018-01-27,C++,,,
APT32_OceanLotus_ThreatGroup,sagarwani,6,4,0,2018-11-23,2021-07-23,,,,
pymal,abdesslem,2,2,1,2015-09-05,2016-02-05,Python,,,"linux, windows"
ClusTheDroid,ClusTheDroid,2,2,2,2014-08-29,2017-10-18,C,,,android
Ultimate.Hosts.Blacklist,mitchellkrogza,738,108,54,2017-07-25,2021-12-16,Shell,"hosts, hostsfile, child-protection, pc-protection, malware, porn, ransomware, violence, drugs, alcohol, blocker, block-sites, safe-browsing, petya, adware, ad-blocker, hosts-deny, clickjacking, ultimate-hosts, family","ransomware, sniff, spam","android, iphone, linux, mac, windows"
Practical-Malware-Analysis,braveghz,5,2,0,2017-03-15,2019-05-27,,bin,,
super-dracos,Screetsec,23,22,5,2016-10-26,2021-04-22,Shell,,,linux
runpedmp,hidd3ncod3s,9,9,2,2015-07-01,2020-03-04,C++,"runpe, runpedump, runpeunpacking",,
AMAP,lehag,5,0,0,2019-04-09,2019-05-31,,,,
malware-analysis,RadjahDri,3,3,2,2016-05-25,2020-10-19,Python,,,
bee_parser,hasherezade,23,9,4,2018-08-23,2021-10-15,C,,,
mac-sandbox,sandialabs,20,5,6,2016-07-08,2021-12-15,Python,,,mac
MAD-Spy,CristianTuretta,56,25,9,2018-09-12,2021-11-13,Java,"malware, android, smali, repacking, keylogger, firebase-database, screenshot-utility, malware-development, trojan, spyware, java","keylogger, spyware, trojan","android, iphone"
BitcoinClipboardMalware,SpunkyT33dy,2,3,1,2017-10-10,2020-08-10,C++,,,
pyTools,matrosov,4,2,2,2010-08-19,2021-06-27,Python,,,
librk,nullbites,9,2,1,2016-12-27,2020-03-04,C,,,
VX-Collectors-Edition,alienwithin,7,9,3,2014-08-26,2021-05-23,,,"virus, worm",
Malware.Scripts,craT0x,4,3,1,2018-10-25,2020-12-08,Python,,ransomware,
dns-monitor,silascutler,9,4,1,2012-09-05,2021-11-22,,,botnet,
Minimalistic-Packer,satwikbh,9,3,2,2015-04-03,2020-11-17,Python,,,
Shifu,fortiguard-lion,7,1,4,2015-10-30,2019-01-24,,,,
MalwareFinder,HookJordan,5,3,1,2017-03-19,2021-11-09,C#,"malware, security, anti-malware, anti-virus, research","ransomware, trojan, virus, worm",
malware-40,redteamcaliber,1,2,0,2016-07-17,2018-10-10,C,,,
malware-repo,frontfoot73,4,4,1,2018-11-21,2020-11-04,,,trojan,iot
malware-crawler,hobama,1,5,1,2015-05-13,2020-04-07,Python,,,
malware-crawler,trietptm,2,4,0,2015-06-01,2020-04-07,Python,,,
malware_analysis,TheEnergyStory,27,6,4,2016-06-14,2021-03-17,C#,,,
Android-Malware,asudhak,4,2,2,2012-10-19,2017-05-11,Java,,,android
Windows-malware,BitTheByte,3,2,1,2018-04-24,2019-01-08,C++,"c, c-plus-plus, cpp, windows, malware, vs, visual-studio",,windows
research-malware-authorship,ExperimentMonty,2,3,1,2014-02-03,2016-07-21,Python,,,
NoWannaNoCry,dolang,2,3,1,2017-05-14,2017-10-09,Python,,"ransomware, worm",windows
cyberghost,illinoistech-itm,0,6,9,2016-06-20,2016-07-25,Python,,,
NtMalDetect,NtMalDetect,10,2,2,2018-01-03,2021-06-05,Python,"malware-detection, malware-analysis, python3, python, system-calls, system-call-analysis, machine-learning, machine-learning-algorithms, sklearn, sklearn-classify, scikit-learn, scikitlearn-machine-learning, virus, virus-testing",virus,
python-friendly-malware,unazed,2,1,0,2017-12-27,2017-12-31,Python,,,
malware,CDuPlooy,1,1,1,2017-01-08,2017-01-09,,,,
dad-and-son,joe-graham,5,1,2,2018-05-21,2019-02-10,C,,,
com_wemahu,nekudo,0,2,1,2014-01-22,2018-12-08,PHP,,,
SuperVirus,grcasanova,36,15,4,2016-10-29,2021-12-09,C++,,virus,
EventFinder2,BeanBagKing,29,5,2,2019-01-28,2021-09-10,C#,,,windows
MocaMalware,SamuelFinocchioNJP,3,2,4,2016-08-14,2019-11-13,C#,,,
recycle_malware,joseph-giron,4,1,1,2017-09-30,2021-01-30,,,,
android_botnet,roughiz,3,1,1,2017-09-20,2020-08-25,Python,,botnet,android
Chameleon-malware-testbed,gracesrm,7,0,1,2018-12-07,2020-07-08,Python,"malware, malware-research, malware-analysis, testbed, vmware-workstation",,linux
d3pl0y-IRC-BotNet,d3p0rt,6,1,2,2014-07-29,2021-12-13,C#,,botnet,
RansomwareSimulator,rainaashutosh,3,0,2,2016-11-15,2021-04-19,,,ransomware,
Yara-Rules,colincowie,3,1,2,2018-08-04,2018-10-23,,,,
upnp,adelashraf,4,0,2,2016-05-08,2017-01-28,Python,,,
