Repo,Author,Star,Fork,Watch,Creation,Last Update,Language,Topic,Family,Platform
rvm,ronsoros,216,18,10,2016-12-06,2021-11-28,C,,,
CoCo,kentdlee,177,50,19,2013-11-22,2021-12-17,C++,,,"linux, mac, windows"
emoji-keyboard,OzymandiasTheGreat,248,31,6,2016-05-30,2021-12-10,TypeScript,"emoji, emoji-keyboard, emoji-picker, virtual-keyboard",,"linux, windows"
simple-dvm,jserv,52,20,8,2015-02-26,2021-11-16,C,,,
VirtualRouter,Rychard,9,6,3,2015-07-13,2020-10-26,C#,,,"android, iphone, windows"
vdk,sherpya,26,9,4,2011-02-12,2021-08-21,C,,,"linux, windows"
hvpp,wbenny,754,155,46,2018-07-29,2021-12-17,C++,"hypervisor, virtualization, vt-x, x64, introspection, ept, sandbox",backdoor,"linux, windows"
electriccommander,electric-cloud,34,27,67,2012-07-19,2021-05-07,Perl,,,
teach-yla-vm,risik,0,20,1,2014-09-27,2014-09-27,C,,,
vmbuilder,vmbuilder,1,4,2,2017-01-28,2021-01-12,Python,"vmbuilder, qemu, libvirt, python, linux",,linux
createvm.sh,beeman,0,3,3,2014-08-09,2014-08-09,Shell,,,"linux, mac, windows"
vSPC.py,pbhenson,23,21,8,2011-12-07,2021-10-21,Python,,,linux
Android-Virtual-Input-for-Linux,piotrzintel,28,14,9,2012-03-28,2021-04-21,C++,,,"android, linux"
tvm,taschain,12,0,9,2018-07-17,2019-06-06,,,,
GeoVR,macaba,4,1,5,2018-08-09,2021-11-07,C#,,,
JayParser,JayWalker512,1,0,1,2012-07-02,2021-02-20,C++,,,
atto,erik,6,0,3,2010-12-06,2020-07-31,C,,,
urcpu,matthew,5,0,2,2008-11-27,2019-08-13,Ruby,,,
AjTalk,ajlopez,5,0,3,2012-03-17,2017-03-06,Smalltalk,,,
JeyBoard,TheWeirdDev,17,0,2,2016-07-17,2019-03-16,Java,,,"linux, mac, windows"
hcrypt-vm,hcrypt-project,6,0,4,2014-01-03,2019-07-25,C,,,
notroller,johnsto,5,0,1,2015-06-23,2018-09-01,JavaScript,,,linux
qemu-vm,LucaFilipozzi,5,1,1,2017-10-21,2020-12-07,Makefile,"qemu, debian, debian-stretch, framebuffer",,linux
vproc,wyvernSemi,7,2,2,2016-09-29,2021-10-21,C,"virtual, processor, verilog, verification, pli, cosim, threading, simulation-element, c",,
vmanalysis,pboothe,2,0,3,2010-06-30,2014-01-29,Shell,,,
Sophia8,mozdren,0,0,1,2017-04-02,2019-08-14,C++,,,
kvisc,os-k-team,2,0,2,2019-05-15,2019-08-16,C,,,
Filedisk-With-Encryption,jsrdcht,0,0,1,2019-06-26,2019-06-26,C,,,windows
pytabletop,antocuni,0,0,2,2019-03-01,2019-09-12,Python,,,android
42--Corewar__VirtualMachine,sayakura,0,1,0,2019-06-16,2019-10-19,C,,,
VM,DeveshPankaj,0,0,0,2019-06-25,2019-06-25,C++,,,
rein,firstboot,68,25,5,2019-06-17,2021-11-09,Go,,,"linux, windows"
Needham-Schroeder-Protocol,kalnamz,0,0,0,2019-06-24,2019-06-24,C,,,
Abstract_VM,zungula,0,0,1,2019-06-24,2019-11-11,C++,,,
PyVM,ForceBru,69,12,5,2017-09-12,2021-09-27,Python,,,linux
SMach-nand2tetris,swaroopkml96,1,0,1,2017-04-18,2019-06-22,Java,,,
hullowheel-server,hulloanson,1,0,0,2019-06-07,2021-08-07,C,"ets2, wheel, joystick, linux",,"android, linux, windows"
jlang-vm,shines77,12,2,2,2018-12-13,2021-05-13,C++,,,"linux, windows"
spym,vmg,3,1,3,2008-12-26,2020-01-24,Python,,,
BRHConsole,ffissore,3,0,1,2011-04-26,2021-11-01,Java,,,windows
COMRedirSVC,GearheadRed,2,1,1,2011-11-10,2018-11-12,,,,"linux, windows"
ipvsadm,gooselinux,0,1,6,2011-11-27,2014-04-08,,,,linux
OptionsVM,wschlanger,1,0,1,2011-12-14,2013-12-31,,,,
Virtual-Piano,derianto,17,11,2,2011-12-16,2021-11-09,Java,,,"linux, windows"
Rainier_VM,rdnelson,2,0,2,2012-01-19,2019-09-10,C++,,,
LaserHarp,murraymeehan,3,0,3,2012-01-19,2017-05-12,C,,,"android, iphone, linux, windows"
gelf,theopolis,2,0,4,2012-04-09,2013-10-11,Python,,,linux
vncpwd,jeroennijhof,171,46,10,2012-05-29,2021-12-14,C,,,
WinPirate,thepaulbenoit,92,34,20,2016-07-13,2019-06-02,,,,"linux, windows"
h8mail,khast3x,2170,322,104,2018-06-15,2021-12-21,Python,"osint, email, kali, theharvester, password, leak, hibp, haveibeenpwned, breach, breach-compilation, hacking",,windows
pshitt,regit,123,22,5,2014-06-25,2021-12-15,Python,,,
LinkedIn-Password-Checker,hungtruong,40,14,4,2012-06-06,2021-10-20,Python,,,
bruteforce-wallet,glv2,236,109,36,2014-06-22,2021-12-16,C,,,linux
crack,averagesecurityguy,31,15,6,2011-10-14,2021-12-01,Python,,,
cloudstack-scripts,shankerbalan,21,15,8,2013-04-22,2019-03-04,Shell,,,"linux, mac"
intellij-decrypt,corneliudascalu,69,14,7,2014-02-20,2021-06-25,Java,,,linux
nighthawk,klemenb,75,36,7,2015-03-14,2021-11-22,C#,,"sniff, spoof",windows
USBStealer,XXH3X,54,35,10,2017-07-20,2019-08-04,,,,windows
rarPasswordCracker,GauthamGoli,63,22,5,2015-05-27,2021-12-11,Python,"python, bruteforce",,"linux, windows"
Cipherly,mtwn105,84,34,7,2019-05-24,2021-11-25,Dart,"flutter, flutter-apps, flutter-examples, dart, android",,"android, iphone"
passmgr,urld,74,6,1,2017-06-03,2021-12-15,Go,"password-manager, encryption, commandline-interface, golang-application",keylogger,"linux, windows"
rlcrackzip,ryanl,5,5,3,2012-07-11,2017-07-18,C++,,,
ntlmsspparse,psychomario,64,16,5,2012-04-25,2021-09-30,Python,,,
hidden-input,Seldaek,70,14,9,2012-08-25,2021-11-18,C++,,,windows
wifi-password,ziishaned,63,4,2,2018-10-15,2019-07-17,,,,"linux, mac, windows"
decrypt-windows-ec2-passwd,tomrittervg,51,26,7,2013-03-03,2021-10-24,Python,ec2,,windows
pywd,captainsafia,0,2,1,2014-05-30,2014-07-01,Python,,,
Sherlock-MacCLI,soheilpro,0,2,1,2013-09-17,2015-12-14,Objective-C,,,"iphone, mac, windows"
keeppass,snobw,0,0,0,2017-01-30,2017-03-08,C++,,,"android, linux, windows"
silentiary,arthurdick,0,0,1,2015-10-04,2015-10-04,Python,,,linux
CompSci,archibald-creations,0,0,1,2018-10-07,2018-10-15,,,,
jpwtools,jasonuhl,0,0,1,2016-07-07,2018-09-26,Python,,,
jpass,joechrisellis,6,0,1,2014-07-05,2017-10-16,Python,,,
cisco-encrypt,coldfix,8,5,2,2016-12-02,2021-12-03,C,,,
keys_of_peace,quasiyoke,6,0,5,2013-10-30,2017-09-18,JavaScript,,sniff,
pman,tykel,3,0,1,2014-09-27,2014-10-13,C,,,linux
BlackJack21,MichaelDim02,9,1,2,2018-02-26,2021-04-03,C++,,,linux
zzkey,dieyushi,3,0,1,2012-05-24,2017-02-18,Go,,,"linux, mac"
ubergenpass-objc,mjmsmith,4,0,1,2012-12-06,2016-07-05,Objective-C,,,iphone
Password-Manager,agrippa1994,3,0,1,2014-12-15,2017-03-02,C++,,,iphone
award-bios-password,iNiKe,5,0,1,2017-03-14,2021-10-01,Assembly,"award, bios, password, password-safety, password-hash, cmos, password-retrieval",,
PyRooms,sidjee,6,1,2,2017-09-03,2021-12-03,Python,,,
qrpass,Tethik,2,0,2,2014-04-18,2019-03-11,Python,,,"android, linux"
gocrack,henrykhadass,2,0,1,2016-07-25,2018-03-29,Go,,,linux
keedrop,milgner,7,2,4,2017-05-21,2021-11-12,JavaScript,,keylogger,
dictionaries,PHX2600,4,0,5,2014-04-29,2016-06-20,,,,
pass-manager,simonsterj,2,0,1,2017-08-10,2017-12-06,Python,,,
otp-client,eiguike,2,0,0,2018-09-03,2018-10-09,C,,,mac
pwgen,RDev-AT,0,0,0,2019-06-23,2019-07-06,Python,,,
GBrute,i4mShayan,3,5,0,2019-06-22,2021-12-14,Python,,,linux
erpass,ertuil,0,0,1,2019-06-21,2020-01-12,HTML,,,"linux, windows"
Calculator,DemonHunter23,0,0,0,2019-06-19,2019-07-21,Java,,,windows
PassMan,ProgrammAbel,0,0,0,2019-06-13,2020-04-09,Python,,,windows
Password-locker,Kibet1816,0,0,0,2019-06-17,2019-06-17,Python,"python-3-6, cli",,
Password-locker,Omtatah,0,0,0,2019-06-16,2019-06-16,Python,,,
nginx_node_exporter,omilun,0,0,1,2019-05-21,2019-07-15,Dockerfile,,,
EncryptedPage,jameshi16,0,0,0,2019-06-14,2021-03-07,JavaScript,"encryption, javascript, golang, aes, password, client-side",,
vault,epogrebnyak,1,1,0,2019-06-12,2019-09-12,Python,"nim, python, cryptography",,
TextEncryptor,DerekCresswell,0,0,1,2019-04-05,2019-11-04,Processing,,,
ylva,nrosvall,27,5,4,2019-05-17,2021-10-05,C,"password-manager, unix-like, command-line-tool, security-tools, encryption",,linux
password-encryption,cpb-,2,0,2,2019-04-01,2021-09-23,C,,,linux
passwordwidget,elektronaut,2,2,2,2008-12-13,2021-03-17,JavaScript,,,mac
KeyChainDD,sandymc,3,0,1,2010-10-19,2016-01-07,Objective-C,,,
nemotopass,jjuarez,1,0,1,2010-11-22,2020-05-23,Ruby,,,
python-password-dictionary-generator,bussiere,0,1,1,2012-12-12,2019-01-25,Python,,,
pmpm,profmaad,1,0,1,2011-01-05,2014-04-06,Ruby,,,
everyauth-example-password,jimpick,12,3,1,2011-06-08,2017-05-22,JavaScript,,,
pwsafe,climent,0,1,1,2011-07-18,2013-10-22,C++,,,
PassManager,Adrael,0,1,2,2011-06-22,2014-09-21,Python,,,
PasswordGenerator,Efpophis,1,0,1,2011-11-19,2014-02-10,Java,,,
PassKeeper,bgreenlee,5,4,2,2011-02-06,2020-02-24,Rust,,,windows
nuxwdog,gooselinux,0,0,6,2012-05-01,2014-03-19,,,,
pass_gen,coprit,1,0,1,2012-05-02,2013-10-20,Java,,,
banper,Strangerxxx,1,0,1,2012-02-23,2014-01-05,,,,
MyLocalPass,guilhermefarias,0,0,1,2012-06-08,2014-03-07,Java,,,
Windows-RCE-exploits,smgorelik,693,173,59,2018-02-13,2021-11-23,,,,windows
RedEdit,ldci,11,2,5,2016-03-24,2018-12-02,Rebol,,,"linux, windows"
Red-Team,nzbzny,0,2,2,2017-01-14,2017-01-15,C++,,keylogger,
MARS,richpl,0,0,1,2016-08-30,2020-01-03,Python,,,
pythononopenshift,clifdawes,0,0,0,2018-10-12,2018-10-15,,,,
sor_serial_parallel_codes,sparsh0mittal,1,1,1,2014-12-31,2017-05-11,D,,,
FREM-C-Template,shinyquagsire23,0,0,2,2014-07-06,2014-07-06,C,,,
Little-Red,ichengtao,0,0,1,2013-12-06,2014-04-03,,,,
redhat-scripts,taeluhlee,0,0,1,2015-07-29,2017-08-03,Python,,,linux
RED-or-BLACK-the-card-game-,BALIST0N,0,0,1,2017-03-21,2017-04-06,,,,
Sixnet-9MS,reidmefirst,1,3,1,2016-01-03,2020-03-22,C,,backdoor,
trabalho-redes-rcmcc-2011,ptersnow,0,0,1,2015-03-13,2015-03-13,C,,,
PID_Controller,MicroSnail,2,1,1,2016-10-17,2020-11-09,VHDL,,,"linux, windows"
robotmas-2012,dylanross,0,0,1,2015-01-28,2015-01-28,Python,,,
deBruijnCircle,harrimand,0,0,0,2018-03-07,2018-03-07,Python,,,windows
DDoS,pqhuy98,5,1,0,2017-01-24,2018-06-05,Python,,ddos,
Distributed-Denial-of-Service,jeevanvenkataramana,0,0,1,2018-05-28,2018-05-28,Java,,botnet,
DDOS,vishaljnv,0,0,0,2018-01-07,2019-05-20,Java,,ddos,
Distributed-Denial-of-Service-Attacks,harika2506,0,0,0,2018-04-11,2018-04-11,Java,,botnet,
server-client-DDoS-bot,nidhinarendra,3,1,2,2016-11-08,2021-02-03,Java,,"botnet, ddos",
DDoS,Nesch7,1,0,0,2019-03-23,2019-03-24,Python,,ddos,
ddos_server_client,VivekMaran27,0,0,0,2018-08-04,2018-08-04,Java,,botnet,
cristians-clock-synch,dipakboyed,3,0,1,2015-02-11,2019-01-30,Java,,ddos,
DDoS,asvinp,1,0,1,2019-04-29,2020-12-11,Java,,"botnet, ddos",
DoS-Attack,yashkaushal,0,0,1,2018-02-13,2018-02-13,C#,,,
DDOS,Pankajchandan,2,0,1,2017-05-02,2020-12-11,Java,,"botnet, ddos",
DDOSSimulator,bingshi0112,1,0,0,2017-09-02,2018-04-02,Java,,botnet,
TurboFire2-DDOS-Stress-Tool,LucasFonsecadosSantos,0,0,1,2018-07-03,2018-07-18,,,ddos,
ddos,aaghdai,0,1,1,2016-05-01,2016-05-01,TeX,,ddos,"linux, mac, windows"
Cybersecurity,Geekpub,3,0,0,2017-05-06,2021-07-27,Python,,"ddos, trojan",
DDOS-Java-Implementation,avinashclosepetsuresh,5,1,0,2017-05-10,2021-02-03,Java,"java, http, socket, ddos, keepalived, multithreading, socketapi",ddos,
OpenDayProject,niroge,0,0,0,2018-11-19,2018-11-19,Python,,,"linux, windows"
POTD-Server-2,whichxjy,0,0,0,2019-05-30,2019-06-03,C++,,,
gadacz-server,sarxos,1,0,2,2011-03-10,2019-04-02,Java,,botnet,
ddos-attack1,CryptoGhost2,0,0,0,2018-05-21,2018-05-21,Python,,ddos,
execises,DanZanfirescu,0,0,0,2018-03-04,2018-10-11,Java,,,
DownLoadScheduler,varunbat123,1,0,2,2016-11-04,2018-11-12,Java,,,
CVE-2018-17182,jas502n,119,47,6,2018-09-29,2021-06-24,C,,,linux
shadow2,sobinge,169,89,5,2018-11-23,2021-12-14,Python,,,"linux, mac, windows"
racism,Jailbreaks,2,2,2,2018-10-07,2021-10-05,Roff,,,
zfsoft-Hijacking-0day-PoC,MXWXZ,16,2,0,2019-06-26,2021-12-01,Python,,,
DotNetAVBypass,mandreko,27,19,6,2012-07-20,2021-07-01,C#,,,windows
Armor,tokyoneon,243,50,12,2018-11-06,2021-12-15,Shell,"shell, encryption, openssl, libressl, macos, osx, ncat, antivirus-evasion, payload, antivirus, shell-script, kali-linux, kali, bypass-antivirus, bypass-av, penetration-testing, encoding, attack, information-security, kali-scripts",,
MorphAES,cryptolok,283,109,26,2016-07-13,2021-11-17,Python,,,"linux, mac, windows"
AndTroj,unk9vvn,37,5,8,2018-09-27,2019-08-08,,"metasploit-framework, apktool, ngrok, obfuscation, android-sdk, smali, twilio, beef-xss, smtp2go, kali-linux","backdoor, spoof","android, linux"
Safeguard-Dinosaurs,s3krit,1,6,2,2013-03-28,2019-02-03,C,,,
PyEvade,xp4xbox,15,4,2,2017-10-13,2021-10-19,Python,,,windows
FileMeddler,hatton,2,3,4,2016-07-30,2020-10-20,C#,"utility, testing",virus,windows
HERCULES,Exploit-install,3,2,1,2017-02-14,2019-04-19,,,virus,windows
GPMAV,byjuchalad,0,3,1,2015-04-13,2018-07-29,Visual Basic,,virus,windows
Antivirus,Varser,0,1,2,2016-02-22,2016-02-22,C++,,,"linux, windows"
ECE4310Antivirus,sammyholt,0,2,1,2018-11-12,2019-03-14,Java,,virus,
SIVA-AV,VISWESWARAN1998,1,0,2,2017-12-10,2017-12-16,C++,antivirus,,windows
sec-clamav,bitfinity-nl,1,0,0,2018-07-17,2019-08-18,Shell,,"trojan, virus",linux
BAAFJava,gabriellhuver,4,6,2,2017-08-31,2021-10-26,Java,"powershell-module, java, windows, bypass-antivirus, bypass, metasploit-powershell-exec, powershell-payload, victim-pc",virus,windows
Antivirus,Suisel,0,0,6,2014-11-26,2014-12-18,Shell,,,windows
jet-antivirus,JetDev2549,0,0,0,2018-09-15,2020-12-23,Batchfile,,,windows
